"Position","Name","Salary","GameInfo","Score","teamAbbrev"
"WR","Michael Crabtree",6500,"OAK@MIA 11/05/2017 08:30PM ET",15.729,"OAK"
"RB","David Johnson",6400,"ARI@SF 11/05/2017 04:05PM ET",14.100,"ARI"
"WR","Dez Bryant",6400,"KC@DAL 11/05/2017 04:25PM ET",13.229,"DAL"
"QB","Derek Carr",6400,"OAK@MIA 11/05/2017 08:30PM ET",16.623,"OAK"
"QB","Cam Newton",6300,"ATL@CAR 11/05/2017 01:00PM ET",18.893,"CAR"
"RB","Alvin Kamara",6300,"TB@NO 11/05/2017 01:00PM ET",14.286,"NO"
"WR","Jarvis Landry",6300,"OAK@MIA 11/05/2017 08:30PM ET",15.300,"MIA"
"WR","Golden Tate",6300,"DET@GB 11/06/2017 08:30PM ET",14.686,"DET"
"WR","Kelvin Benjamin",6200,"BUF@NYJ 11/02/2017 08:25PM ET",11.813,"BUF"
"QB","Matt Ryan",6200,"ATL@CAR 11/05/2017 01:00PM ET",15.966,"ATL"
"RB","Lamar Miller",6200,"IND@HOU 11/05/2017 01:00PM ET",14.857,"HOU"
"QB","Carson Wentz",6100,"DEN@PHI 11/05/2017 01:00PM ET",23.103,"PHI"
"RB","Chris Thompson",6100,"WAS@SEA 11/05/2017 04:05PM ET",18.900,"WAS"
"WR","DeVante Parker",6100,"OAK@MIA 11/05/2017 08:30PM ET",12.150,"MIA"
"QB","Matthew Stafford",6100,"DET@GB 11/06/2017 08:30PM ET",18.406,"DET"
"WR","Demaryius Thomas",6000,"DEN@PHI 11/05/2017 01:00PM ET",11.786,"DEN"
"QB","Marcus Mariota",6000,"BAL@TEN 11/05/2017 01:00PM ET",16.240,"TEN"
"RB","Aaron Jones",6000,"DET@GB 11/06/2017 08:30PM ET",10.883,"GB"
"QB","Tyrod Taylor",5900,"BUF@NYJ 11/02/2017 08:25PM ET",15.317,"BUF"
"WR","Larry Fitzgerald",5900,"ARI@SF 11/05/2017 04:05PM ET",16.771,"ARI"
"RB","Doug Martin",5800,"TB@NO 11/05/2017 01:00PM ET",12.275,"TB"
"QB","Jameis Winston",5800,"TB@NO 11/05/2017 01:00PM ET",17.489,"TB"
"WR","Jordy Nelson",5800,"DET@GB 11/06/2017 08:30PM ET",13.186,"GB"
"WR","Emmanuel Sanders",5700,"DEN@PHI 11/05/2017 01:00PM ET",12.720,"DEN"
"RB","Jay Ajayi",5700,"DEN@PHI 11/05/2017 01:00PM ET",10.314,"PHI"
"QB","Kirk Cousins",5700,"WAS@SEA 11/05/2017 04:05PM ET",21.157,"WAS"
"TE","Evan Engram",5600,"LAR@NYG 11/05/2017 01:00PM ET",11.743,"NYG"
"QB","Carson Palmer",5600,"ARI@SF 11/05/2017 04:05PM ET",16.909,"ARI"
"RB","Adrian Peterson",5600,"ARI@SF 11/05/2017 04:05PM ET",7.200,"ARI"
"WR","Marvin Jones Jr.",5600,"DET@GB 11/06/2017 08:30PM ET",12.543,"DET"
"QB","Josh McCown",5500,"BUF@NYJ 11/02/2017 08:25PM ET",16.663,"NYJ"
"WR","DeSean Jackson",5500,"TB@NO 11/05/2017 01:00PM ET",11.386,"TB"
"QB","Jared Goff",5500,"LAR@NYG 11/05/2017 01:00PM ET",16.209,"LAR"
"RB","Darren McFadden",5500,"KC@DAL 11/05/2017 04:25PM ET",0,"DAL"
"RB","Alfred Morris",5500,"KC@DAL 11/05/2017 04:25PM ET",2.067,"DAL"
"WR","Devin Funchess",5400,"ATL@CAR 11/05/2017 01:00PM ET",10.838,"CAR"
"QB","Andrew Luck",5400,"IND@HOU 11/05/2017 01:00PM ET",0,"IND"
"RB","DeMarco Murray",5400,"BAL@TEN 11/05/2017 01:00PM ET",11.214,"TEN"
"WR","Davante Adams",5400,"DET@GB 11/06/2017 08:30PM ET",13.586,"GB"
"QB","Derek Anderson",5300,"ATL@CAR 11/05/2017 01:00PM ET",0.680,"CAR"
"WR","Mohamed Sanu",5300,"ATL@CAR 11/05/2017 01:00PM ET",11.767,"ATL"
"WR","Alshon Jeffery",5300,"DEN@PHI 11/05/2017 01:00PM ET",11.450,"PHI"
"QB","Jacoby Brissett",5200,"IND@HOU 11/05/2017 01:00PM ET",14.398,"IND"
"WR","Sterling Shepard",5200,"LAR@NYG 11/05/2017 01:00PM ET",11.720,"NYG"
"RB","Carlos Hyde",5200,"ARI@SF 11/05/2017 04:05PM ET",15.213,"SF"
"RB","Joe Mixon",5100,"CIN@JAX 11/05/2017 01:00PM ET",9.457,"CIN"
"WR","Pierre Garcon",5100,"ARI@SF 11/05/2017 04:05PM ET",11.625,"SF"
"QB","Brett Hundley",5100,"DET@GB 11/06/2017 08:30PM ET",6.820,"GB"
"QB","Andy Dalton",5000,"CIN@JAX 11/05/2017 01:00PM ET",15.217,"CIN"
"WR","Ted Ginn Jr.",5000,"TB@NO 11/05/2017 01:00PM ET",12.043,"NO"
"RB","Derrick Henry",5000,"BAL@TEN 11/05/2017 01:00PM ET",7.943,"TEN"
"TE","Jimmy Graham",5000,"WAS@SEA 11/05/2017 04:05PM ET",11.271,"SEA"
"TE","Austin Seferian-Jenkins",4900,"BUF@NYJ 11/02/2017 08:25PM ET",11.350,"NYJ"
"WR","T.Y. Hilton",4900,"IND@HOU 11/05/2017 01:00PM ET",11.588,"IND"
"TE","Delanie Walker",4900,"BAL@TEN 11/05/2017 01:00PM ET",9.886,"TEN"
"QB","C.J. Beathard",4900,"ARI@SF 11/05/2017 04:05PM ET",10.820,"SF"
"WR","Jamison Crowder",4900,"WAS@SEA 11/05/2017 04:05PM ET",8.400,"WAS"
"QB","Jay Cutler",4900,"OAK@MIA 11/05/2017 08:30PM ET",10.800,"MIA"
"WR","Jermaine Kearse",4800,"BUF@NYJ 11/02/2017 08:25PM ET",10.900,"NYJ"
"QB","Ryan Fitzpatrick",4800,"TB@NO 11/05/2017 01:00PM ET",11.200,"TB"
"QB","Eli Manning",4800,"LAR@NYG 11/05/2017 01:00PM ET",15.443,"NYG"
"RB","C.J. Anderson",4800,"DEN@PHI 11/05/2017 01:00PM ET",11.857,"DEN"
"WR","Nelson Agholor",4800,"DEN@PHI 11/05/2017 01:00PM ET",12.025,"PHI"
"QB","Brian Hoyer",4800,"ARI@SF 11/05/2017 04:05PM ET",12.250,"SF"
"TE","Jordan Reed",4800,"WAS@SEA 11/05/2017 04:05PM ET",10.017,"WAS"
"QB","EJ Manuel",4800,"OAK@MIA 11/05/2017 08:30PM ET",7.550,"OAK"
"RB","Tevin Coleman",4700,"ATL@CAR 11/05/2017 01:00PM ET",10.886,"ATL"
"QB","AJ McCarron",4700,"CIN@JAX 11/05/2017 01:00PM ET",0.000,"CIN"
"QB","Blake Bortles",4700,"CIN@JAX 11/05/2017 01:00PM ET",14.517,"JAX"
"QB","Trevor Siemian",4700,"DEN@PHI 11/05/2017 01:00PM ET",15.523,"DEN"
"QB","Drew Stanton",4700,"ARI@SF 11/05/2017 04:05PM ET",1.880,"ARI"
"QB","Colt McCoy",4700,"WAS@SEA 11/05/2017 04:05PM ET",0,"WAS"
"WR","Paul Richardson",4700,"WAS@SEA 11/05/2017 04:05PM ET",13.200,"SEA"
"QB","Patrick Mahomes II",4700,"KC@DAL 11/05/2017 04:25PM ET",0,"KC"
"WR","Randall Cobb",4700,"DET@GB 11/06/2017 08:30PM ET",10.183,"GB"
"RB","Bilal Powell",4600,"BUF@NYJ 11/02/2017 08:25PM ET",11.229,"NYJ"
"QB","Tom Savage",4600,"IND@HOU 11/05/2017 01:00PM ET",0.240,"HOU"
"QB","Chase Daniel",4600,"TB@NO 11/05/2017 01:00PM ET",0,"NO"
"QB","Joe Flacco",4600,"BAL@TEN 11/05/2017 01:00PM ET",8.775,"BAL"
"WR","Rishard Matthews",4600,"BAL@TEN 11/05/2017 01:00PM ET",10.286,"TEN"
"RB","Alex Collins",4600,"BAL@TEN 11/05/2017 01:00PM ET",7.686,"BAL"
"QB","Blaine Gabbert",4600,"ARI@SF 11/05/2017 04:05PM ET",0,"ARI"
"WR","Tyler Lockett",4600,"WAS@SEA 11/05/2017 04:05PM ET",9.700,"SEA"
"TE","Jason Witten",4600,"KC@DAL 11/05/2017 04:25PM ET",11.771,"DAL"
"RB","T.J. Yeldon",4500,"CIN@JAX 11/05/2017 01:00PM ET",24.700,"JAX"
"TE","Cameron Brate",4500,"TB@NO 11/05/2017 01:00PM ET",13.643,"TB"
"QB","Geno Smith",4500,"LAR@NYG 11/05/2017 01:00PM ET",0,"NYG"
"WR","Cooper Kupp",4500,"LAR@NYG 11/05/2017 01:00PM ET",10.371,"LAR"
"QB","Brock Osweiler",4500,"DEN@PHI 11/05/2017 01:00PM ET",0.620,"DEN"
"QB","Matt Cassel",4500,"BAL@TEN 11/05/2017 01:00PM ET",2.160,"TEN"
"QB","Ryan Mallett",4500,"BAL@TEN 11/05/2017 01:00PM ET",4.970,"BAL"
"QB","Cooper Rush",4500,"KC@DAL 11/05/2017 04:25PM ET",1.380,"DAL"
"QB","Matt Moore",4500,"OAK@MIA 11/05/2017 08:30PM ET",9.780,"MIA"
"WR","Kenny Stills",4500,"OAK@MIA 11/05/2017 08:30PM ET",11.471,"MIA"
"WR","Kenny Golladay",4500,"DET@GB 11/06/2017 08:30PM ET",9.733,"DET"
"QB","Joe Callahan",4500,"DET@GB 11/06/2017 08:30PM ET",0,"GB"
"RB","Ty Montgomery",4500,"DET@GB 11/06/2017 08:30PM ET",11.783,"GB"
"TE","Greg Olsen",4400,"ATL@CAR 11/05/2017 01:00PM ET",2.900,"CAR"
"RB","Chris Ivory",4400,"CIN@JAX 11/05/2017 01:00PM ET",8.886,"JAX"
"QB","Nick Foles",4400,"DEN@PHI 11/05/2017 01:00PM ET",-0.200,"PHI"
"WR","Corey Davis",4400,"BAL@TEN 11/05/2017 01:00PM ET",7.150,"TEN"
"WR","Josh Doctson",4400,"WAS@SEA 11/05/2017 04:05PM ET",5.571,"WAS"
"RB","Charcandrick West",4400,"KC@DAL 11/05/2017 04:25PM ET",5.700,"KC"
"QB","Matt Schaub",4300,"ATL@CAR 11/05/2017 01:00PM ET",0.000,"ATL"
"TE","Jack Doyle",4300,"IND@HOU 11/05/2017 01:00PM ET",13.257,"IND"
"QB","Chad Henne",4300,"CIN@JAX 11/05/2017 01:00PM ET",-0.300,"JAX"
"WR","Robert Woods",4300,"LAR@NYG 11/05/2017 01:00PM ET",9.757,"LAR"
"RB","Javorius Allen",4300,"BAL@TEN 11/05/2017 01:00PM ET",11.763,"BAL"
"QB","Austin Davis",4300,"WAS@SEA 11/05/2017 04:05PM ET",-0.100,"SEA"
"WR","Robby Anderson",4200,"BUF@NYJ 11/02/2017 08:25PM ET",11.450,"NYJ"
"QB","Scott Tolzien",4200,"IND@HOU 11/05/2017 01:00PM ET",3.320,"IND"
"QB","Sean Mannion",4200,"LAR@NYG 11/05/2017 01:00PM ET",-0.160,"LAR"
"WR","Sammy Watkins",4200,"LAR@NYG 11/05/2017 01:00PM ET",8.486,"LAR"
"RB","LeGarrette Blount",4200,"DEN@PHI 11/05/2017 01:00PM ET",9.525,"PHI"
"WR","John Brown",4200,"ARI@SF 11/05/2017 04:05PM ET",8.680,"ARI"
"RB","Matt Breida",4200,"ARI@SF 11/05/2017 04:05PM ET",5.825,"SF"
"RB","DeAndre Washington",4200,"OAK@MIA 11/05/2017 08:30PM ET",7.786,"OAK"
"QB","Jake Rudock",4200,"DET@GB 11/06/2017 08:30PM ET",0.000,"DET"
"RB","Matt Forte",4100,"BUF@NYJ 11/02/2017 08:25PM ET",10.450,"NYJ"
"TE","Charles Clay",4100,"BUF@NYJ 11/02/2017 08:25PM ET",12.160,"BUF"
"RB","Marlon Mack",4100,"IND@HOU 11/05/2017 01:00PM ET",9.550,"IND"
"WR","Allen Hurns",4100,"CIN@JAX 11/05/2017 01:00PM ET",10.786,"JAX"
"RB","Jamaal Charles",4100,"DEN@PHI 11/05/2017 01:00PM ET",5.900,"DEN"
"WR","Eric Decker",4100,"BAL@TEN 11/05/2017 01:00PM ET",6.514,"TEN"
"TE","Vernon Davis",4100,"WAS@SEA 11/05/2017 04:05PM ET",7.600,"WAS"
"WR","Terrelle Pryor Sr.",4100,"WAS@SEA 11/05/2017 04:05PM ET",6.614,"WAS"
"QB","Joe Webb",4000,"BUF@NYJ 11/02/2017 08:25PM ET",0.000,"BUF"
"QB","Bryce Petty",4000,"BUF@NYJ 11/02/2017 08:25PM ET",0,"NYJ"
"QB","Nathan Peterman",4000,"BUF@NYJ 11/02/2017 08:25PM ET",0,"BUF"
"QB","Christian Hackenberg",4000,"BUF@NYJ 11/02/2017 08:25PM ET",0,"NYJ"
"QB","Garrett Gilbert",4000,"ATL@CAR 11/05/2017 01:00PM ET",0,"CAR"
"RB","D'Onta Foreman",4000,"IND@HOU 11/05/2017 01:00PM ET",4.214,"HOU"
"QB","Jeff Driskel",4000,"CIN@JAX 11/05/2017 01:00PM ET",0,"CIN"
"RB","Jacquizz Rodgers",4000,"TB@NO 11/05/2017 01:00PM ET",4.843,"TB"
"QB","Ryan Griffin",4000,"TB@NO 11/05/2017 01:00PM ET",0,"TB"
"QB","Taysom Hill",4000,"TB@NO 11/05/2017 01:00PM ET",0,"NO"
"QB","Brandon Allen",4000,"LAR@NYG 11/05/2017 01:00PM ET",0,"LAR"
"QB","Davis Webb",4000,"LAR@NYG 11/05/2017 01:00PM ET",0,"NYG"
"WR","Bennie Fowler",4000,"DEN@PHI 11/05/2017 01:00PM ET",7.714,"DEN"
"QB","Chad Kelly",4000,"DEN@PHI 11/05/2017 01:00PM ET",0,"DEN"
"QB","Paxton Lynch",4000,"DEN@PHI 11/05/2017 01:00PM ET",0,"DEN"
"WR","Jeremy Maclin",4000,"BAL@TEN 11/05/2017 01:00PM ET",9.700,"BAL"
"QB","Brandon Weeden",4000,"BAL@TEN 11/05/2017 01:00PM ET",0.000,"TEN"
"WR","Aldrick Robinson",4000,"ARI@SF 11/05/2017 04:05PM ET",4.100,"SF"
"WR","Jaron Brown",4000,"ARI@SF 11/05/2017 04:05PM ET",8.586,"ARI"
"WR","Cole Beasley",4000,"KC@DAL 11/05/2017 04:25PM ET",6.300,"DAL"
"QB","Tyler Bray",4000,"KC@DAL 11/05/2017 04:25PM ET",0,"KC"
"QB","Connor Cook",4000,"OAK@MIA 11/05/2017 08:30PM ET",0,"OAK"
"RB","Marshawn Lynch",4000,"OAK@MIA 11/05/2017 08:30PM ET",6.629,"OAK"
"TE","Jared Cook",4000,"OAK@MIA 11/05/2017 08:30PM ET",9.538,"OAK"
"QB","David Fales",4000,"OAK@MIA 11/05/2017 08:30PM ET",0,"MIA"
"RB","Kenyan Drake",4000,"OAK@MIA 11/05/2017 08:30PM ET",0.886,"MIA"
"RB","Jamaal Williams",4000,"DET@GB 11/06/2017 08:30PM ET",0.857,"GB"
"RB","Mike Tolbert",3900,"BUF@NYJ 11/02/2017 08:25PM ET",4.843,"BUF"
"WR","Jordan Matthews",3900,"BUF@NYJ 11/02/2017 08:25PM ET",6.717,"BUF"
"RB","Frank Gore",3900,"IND@HOU 11/05/2017 01:00PM ET",9.788,"IND"
"TE","Tyler Kroft",3900,"CIN@JAX 11/05/2017 01:00PM ET",8.829,"CIN"
"WR","Marqise Lee",3900,"CIN@JAX 11/05/2017 01:00PM ET",8.857,"JAX"
"RB","Malcolm Brown",3900,"LAR@NYG 11/05/2017 01:00PM ET",3.950,"LAR"
"RB","Wendell Smallwood",3900,"DEN@PHI 11/05/2017 01:00PM ET",6.367,"PHI"
"RB","Andre Ellington",3900,"ARI@SF 11/05/2017 04:05PM ET",9.767,"ARI"
"RB","Jalen Richard",3900,"OAK@MIA 11/05/2017 08:30PM ET",7.338,"OAK"
"RB","Theo Riddick",3900,"DET@GB 11/06/2017 08:30PM ET",8.200,"DET"
"RB","Ameer Abdullah",3900,"DET@GB 11/06/2017 08:30PM ET",9.114,"DET"
"RB","Elijah McGuire",3800,"BUF@NYJ 11/02/2017 08:25PM ET",4.525,"NYJ"
"DST","Jaguars ",3800,"CIN@JAX 11/05/2017 01:00PM ET",15.286,"JAX"
"WR","Willie Snead",3800,"TB@NO 11/05/2017 01:00PM ET",1.050,"NO"
"RB","Orleans Darkwa",3800,"LAR@NYG 11/05/2017 01:00PM ET",8.100,"NYG"
"WR","Marquise Goodwin",3800,"ARI@SF 11/05/2017 04:05PM ET",7.313,"SF"
"WR","Deonte Thompson",3700,"BUF@NYJ 11/02/2017 08:25PM ET",6.957,"BUF"
"WR","Jeremy Kerley",3700,"BUF@NYJ 11/02/2017 08:25PM ET",6.814,"NYJ"
"TE","Austin Hooper",3700,"ATL@CAR 11/05/2017 01:00PM ET",9.500,"ATL"
"WR","Taylor Gabriel",3700,"ATL@CAR 11/05/2017 01:00PM ET",6.014,"ATL"
"RB","Alfred Blue",3700,"IND@HOU 11/05/2017 01:00PM ET",0.825,"HOU"
"DST","Titans ",3700,"BAL@TEN 11/05/2017 01:00PM ET",6.143,"TEN"
"RB","Danny Woodhead",3700,"BAL@TEN 11/05/2017 01:00PM ET",6.700,"BAL"
"RB","Terrance West",3700,"BAL@TEN 11/05/2017 01:00PM ET",5.820,"BAL"
"RB","Rob Kelley",3700,"WAS@SEA 11/05/2017 04:05PM ET",5.200,"WAS"
"RB","C.J. Prosise",3700,"WAS@SEA 11/05/2017 04:05PM ET",4.175,"SEA"
"RB","Damien Williams",3700,"OAK@MIA 11/05/2017 08:30PM ET",2.314,"MIA"
"DST","Texans ",3600,"IND@HOU 11/05/2017 01:00PM ET",8.000,"HOU"
"RB","De'Angelo Henderson",3600,"DEN@PHI 11/05/2017 01:00PM ET",0.033,"DEN"
"WR","Mike Wallace",3600,"BAL@TEN 11/05/2017 01:00PM ET",7.171,"BAL"
"RB","Samaje Perine",3600,"WAS@SEA 11/05/2017 04:05PM ET",4.229,"WAS"
"WR","Albert Wilson",3600,"KC@DAL 11/05/2017 04:25PM ET",7.386,"KC"
"RB","Zach Zenner",3600,"DET@GB 11/06/2017 08:30PM ET",1.900,"DET"
"RB","Dwayne Washington",3600,"DET@GB 11/06/2017 08:30PM ET",1.900,"DET"
"RB","Jonathan Stewart",3500,"ATL@CAR 11/05/2017 01:00PM ET",6.788,"CAR"
"WR","Dede Westbrook",3500,"CIN@JAX 11/05/2017 01:00PM ET",0,"JAX"
"RB","Devontae Booker",3500,"DEN@PHI 11/05/2017 01:00PM ET",8.400,"DEN"
"DST","Cardinals ",3500,"ARI@SF 11/05/2017 04:05PM ET",4.714,"ARI"
"DST","Seahawks ",3500,"WAS@SEA 11/05/2017 04:05PM ET",10.000,"SEA"
"WR","Ryan Grant",3500,"WAS@SEA 11/05/2017 04:05PM ET",7.786,"WAS"
"WR","TJ Jones",3500,"DET@GB 11/06/2017 08:30PM ET",6.443,"DET"
"WR","Geronimo Allison",3500,"DET@GB 11/06/2017 08:30PM ET",5.117,"GB"
"WR","Zay Jones",3400,"BUF@NYJ 11/02/2017 08:25PM ET",3.071,"BUF"
"WR","Brandon LaFell",3400,"CIN@JAX 11/05/2017 01:00PM ET",6.714,"CIN"
"DST","Saints ",3400,"TB@NO 11/05/2017 01:00PM ET",10.286,"NO"
"RB","Charles Sims",3400,"TB@NO 11/05/2017 01:00PM ET",3.957,"TB"
"WR","Brandon Coleman",3400,"TB@NO 11/05/2017 01:00PM ET",7.929,"NO"
"RB","Wayne Gallman",3400,"LAR@NYG 11/05/2017 01:00PM ET",9.075,"NYG"
"RB","Corey Clement",3400,"DEN@PHI 11/05/2017 01:00PM ET",3.775,"PHI"
"TE","Jonnu Smith",3400,"BAL@TEN 11/05/2017 01:00PM ET",4.814,"TEN"
"RB","Kerwynn Williams",3400,"ARI@SF 11/05/2017 04:05PM ET",2.643,"ARI"
"WR","Justin Hardy",3300,"ATL@CAR 11/05/2017 01:00PM ET",3.229,"ATL"
"RB","Giovani Bernard",3300,"CIN@JAX 11/05/2017 01:00PM ET",7.100,"CIN"
"RB","Corey Grant",3300,"CIN@JAX 11/05/2017 01:00PM ET",2.514,"JAX"
"WR","Adam Humphries",3300,"TB@NO 11/05/2017 01:00PM ET",8.243,"TB"
"WR","Roger Lewis",3300,"LAR@NYG 11/05/2017 01:00PM ET",4.129,"NYG"
"DST","Eagles ",3300,"DEN@PHI 11/05/2017 01:00PM ET",9.750,"PHI"
"WR","Torrey Smith",3300,"DEN@PHI 11/05/2017 01:00PM ET",5.088,"PHI"
"WR","J.J. Nelson",3300,"ARI@SF 11/05/2017 04:05PM ET",9.600,"ARI"
"RB","Thomas Rawls",3300,"WAS@SEA 11/05/2017 04:05PM ET",2.200,"SEA"
"WR","Terrance Williams",3300,"KC@DAL 11/05/2017 04:25PM ET",6.086,"DAL"
"WR","Leonte Carroo",3300,"OAK@MIA 11/05/2017 08:30PM ET",1.986,"MIA"
"WR","Jeff Janis",3300,"DET@GB 11/06/2017 08:30PM ET",0.000,"GB"
"DST","Jets ",3200,"BUF@NYJ 11/02/2017 08:25PM ET",5.125,"NYJ"
"WR","Andre Roberts",3200,"ATL@CAR 11/05/2017 01:00PM ET",0.314,"ATL"
"WR","Donte Moncrief",3200,"IND@HOU 11/05/2017 01:00PM ET",6.388,"IND"
"RB","Shane Vereen",3200,"LAR@NYG 11/05/2017 01:00PM ET",6.129,"NYG"
"RB","Paul Perkins",3200,"LAR@NYG 11/05/2017 01:00PM ET",4.150,"NYG"
"WR","Travis Rudolph",3200,"LAR@NYG 11/05/2017 01:00PM ET",3.100,"NYG"
"DST","49ers ",3200,"ARI@SF 11/05/2017 04:05PM ET",4.000,"SF"
"TE","George Kittle",3200,"ARI@SF 11/05/2017 04:05PM ET",6.875,"SF"
"RB","Eddie Lacy",3200,"WAS@SEA 11/05/2017 04:05PM ET",2.920,"SEA"
"RB","J.D. McKissic",3200,"WAS@SEA 11/05/2017 04:05PM ET",8.400,"SEA"
"WR","Brice Butler",3200,"KC@DAL 11/05/2017 04:25PM ET",5.814,"DAL"
"RB","Rod Smith",3200,"KC@DAL 11/05/2017 04:25PM ET",1.600,"DAL"
"WR","Demarcus Robinson",3200,"KC@DAL 11/05/2017 04:25PM ET",2.688,"KC"
"DST","Bills ",3100,"BUF@NYJ 11/02/2017 08:25PM ET",10.143,"BUF"
"WR","Andre Holmes",3100,"BUF@NYJ 11/02/2017 08:25PM ET",5.529,"BUF"
"TE","Nick O'Leary",3100,"BUF@NYJ 11/02/2017 08:25PM ET",3.857,"BUF"
"TE","Ed Dickson",3100,"ATL@CAR 11/05/2017 01:00PM ET",7.488,"CAR"
"WR","Russell Shepard",3100,"ATL@CAR 11/05/2017 01:00PM ET",3.788,"CAR"
"WR","Curtis Samuel",3100,"ATL@CAR 11/05/2017 01:00PM ET",2.386,"CAR"
"RB","Jeremy Hill",3100,"CIN@JAX 11/05/2017 01:00PM ET",2.457,"CIN"
"DST","Rams ",3100,"LAR@NYG 11/05/2017 01:00PM ET",12.286,"LAR"
"WR","Tavarres King",3100,"LAR@NYG 11/05/2017 01:00PM ET",1.000,"NYG"
"WR","Tavon Austin",3100,"LAR@NYG 11/05/2017 01:00PM ET",3.986,"LAR"
"RB","Kenjon Barner",3100,"DEN@PHI 11/05/2017 01:00PM ET",1.680,"PHI"
"WR","Michael Campanaro",3100,"BAL@TEN 11/05/2017 01:00PM ET",4.343,"BAL"
"WR","Taywan Taylor",3100,"BAL@TEN 11/05/2017 01:00PM ET",5.200,"TEN"
"DST","Raiders ",3100,"OAK@MIA 11/05/2017 08:30PM ET",3.000,"OAK"
"WR","Jakeem Grant",3100,"OAK@MIA 11/05/2017 08:30PM ET",0.643,"MIA"
"WR","Brandon Tate",3000,"BUF@NYJ 11/02/2017 08:25PM ET",2.780,"BUF"
"RB","Taiwan Jones",3000,"BUF@NYJ 11/02/2017 08:25PM ET",0.300,"BUF"
"RB","Patrick DiMarco",3000,"BUF@NYJ 11/02/2017 08:25PM ET",0.186,"BUF"
"WR","Walter Powell",3000,"BUF@NYJ 11/02/2017 08:25PM ET",0,"BUF"
"RB","Lawrence Thomas",3000,"BUF@NYJ 11/02/2017 08:25PM ET",1.014,"NYJ"
"WR","Jalin Marshall",3000,"BUF@NYJ 11/02/2017 08:25PM ET",0,"NYJ"
"WR","Lucky Whitehead",3000,"BUF@NYJ 11/02/2017 08:25PM ET",0,"NYJ"
"WR","ArDarius Stewart",3000,"BUF@NYJ 11/02/2017 08:25PM ET",1.343,"NYJ"
"WR","Chad Hansen",3000,"BUF@NYJ 11/02/2017 08:25PM ET",0.000,"NYJ"
"RB","Fozzy Whittaker",3000,"ATL@CAR 11/05/2017 01:00PM ET",2.233,"CAR"
"RB","Derrick Coleman",3000,"ATL@CAR 11/05/2017 01:00PM ET",0.300,"ATL"
"WR","Nick Williams",3000,"ATL@CAR 11/05/2017 01:00PM ET",6.000,"ATL"
"WR","Kaelin Clay",3000,"ATL@CAR 11/05/2017 01:00PM ET",0.760,"CAR"
"RB","Terron Ward",3000,"ATL@CAR 11/05/2017 01:00PM ET",0.000,"ATL"
"WR","Damiere Byrd",3000,"ATL@CAR 11/05/2017 01:00PM ET",0.300,"CAR"
"WR","Marvin Hall",3000,"ATL@CAR 11/05/2017 01:00PM ET",5.500,"ATL"
"RB","Cameron Artis-Payne",3000,"ATL@CAR 11/05/2017 01:00PM ET",0.400,"CAR"
"RB","Alex Armah",3000,"ATL@CAR 11/05/2017 01:00PM ET",0.000,"CAR"
